0.736331513464902,0.7142429916263587,0.8145281504414631,0.7227704678362573,0.7795664284036378,0.5552959173648829,0.7204199435370034,0.6955403556771546,0.8079763546173474,0.7692926568688764,0.7594293603313392,0.7568719986752773,0.5586829891287418,0.8051007801193125,0.7814398856218373,0.7689393939393939,0.6117810611752166,0.7280810844422335,0.7776945459872291,0.6931818181818182
0.7290663573117606,0.7087962962962963,0.7951437146252545,0.7051678492004658,0.7723320969855294,0.5459576621277688,0.7114176512814542,0.6983003692413979,0.7655125342848189,0.7624000805396154,0.7564352212455029,0.7527462924953351,0.5630644767583778,0.7887726308778941,0.7795680963516904,0.7630331251423699,0.6063509661070637,0.7136969696969698,0.7723733660130719,0.6868246687054027
9.0,7.0,12.0,9.0,11.0,1.0,3.0,9.0,3.0,11.0,11.0,3.0,1.0,12.0,7.0,3.0,12.0,3.0,7.0,5.0
FS_9_RF,FS_7_AB,FS_12_RF,FS_9_LR,FS_11_LR,FS_1_NB,FS_3_AB,FS_9_NB,FS_3_DT,FS_11_DT,FS_11_NB,FS_3_LR,FS_1_RF,FS_12_LR,FS_7_NB,FS_3_NB,FS_12_AB,FS_3_RF,FS_7_LR,FS_5_NB
0.7237905369484317,0.7086870401810978,0.7847286226318483,0.6941919191919191,0.7670748879329277,0.6026079410412336,0.7084099136730716,0.7186602870813396,0.7558897243107771,0.7626471082173908,0.7718223979123874,0.749818991924255,0.5687668784364011,0.779352278545827,0.7968050625096467,0.7744639376218324,0.6024193548387097,0.7085769980506823,0.7682384112774606,0.7160256410256409
0.7291666666666666,0.6944444444444444,0.7916666666666666,0.7083333333333334,0.7708333333333334,0.5486111111111112,0.7013888888888888,0.6875,0.7708333333333334,0.7569444444444444,0.75,0.75,0.5555555555555556,0.7847222222222222,0.7708333333333334,0.7569444444444444,0.5902777777777778,0.7152777777777778,0.7638888888888888,0.6736111111111112
