Index,imdb_score,genres
118,6.7,"Adventure,  Comedy,  Family,  Fantasy"
119,8.0,"Animation,  Comedy,  Family,  Fantasy"
120,8.3,"Action,  Adventure"
121,6.7,"Action,  Adventure,  Animation,  Comedy,  Family"
122,5.9,"Adventure,  Comedy,  Family,  Fantasy"
123,6.7,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
124,6.7,"Action,  Sci-Fi"
125,7.6,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Musical"
126,7.2,"Action,  Sci-Fi"
127,7.1,"Action,  Adventure,  Fantasy"
128,8.1,"Action,  Adventure,  Sci-Fi,  Thriller"
129,6.7,"Mystery,  Thriller"
130,7.0,"Action,  Adventure,  Fantasy"
131,6.9,"Adventure,  Animation,  Comedy,  Drama,  Family"
132,5.1,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy,  Sci-Fi"
133,5.8,"Action,  Adventure,  Fantasy"
134,6.2,"Comedy,  Fantasy,  Horror"
135,7.4,"Action,  Adventure,  Thriller"
136,5.8,"Drama,  Fantasy,  Horror,  Thriller"
137,6.6,"Action,  Adventure,  Drama,  Romance"
138,6.2,"Adventure,  Animation,  Comedy,  Family"
139,7.3,"Action,  Adventure,  Animation,  Comedy,  Family"
140,4.2,"Action,  Adventure,  Family,  Fantasy"
141,6.9,"Action,  Adventure,  Thriller"
142,6.4,"Action,  Drama,  Thriller"
143,5.4,"Action,  Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
144,6.7,"Adventure,  Animation,  Comedy,  Family"
145,5.8,"Adventure,  Family,  Fantasy"
146,6.9,"Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
147,7.2,Adventure
148,6.9,"Adventure,  Animation,  Comedy,  Family"
149,6.1,"Action,  Adventure,  Thriller"
150,5.5,"Action,  Comedy,  Fantasy,  Sci-Fi"
151,6.6,"Action,  Adventure,  Sci-Fi,  Thriller"
152,6.1,"Action,  Adventure,  Comedy,  Family,  Fantasy,  Mystery,  Sci-Fi"
153,6.3,"Action,  Adventure,  Animation,  Fantasy"
154,7.2,"Action,  Adventure,  Animation,  Comedy,  Family"
155,7.4,"Action,  Adventure,  Thriller"
156,7.3,"Adventure,  Animation,  Family,  Fantasy"
157,6.1,"Comedy,  Crime"
158,7.7,"Action,  Drama,  History,  War"
159,6.1,"Action,  Adventure,  Drama"
160,8.0,"Action,  Adventure,  Sci-Fi"
161,7.3,"Action,  Adventure,  Fantasy,  Romance"
162,7.9,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy"
163,5.5,"Action,  Adventure,  Fantasy"
164,5.0,"Action,  Adventure,  Sci-Fi,  Thriller"
165,7.7,"Action,  Drama,  Mystery,  Sci-Fi"
166,6.6,"Action,  Crime,  Thriller"
167,5.7,"Action,  Sci-Fi"
168,5.8,"Action,  Adventure,  Sci-Fi,  Thriller"
169,6.0,"Action,  Adventure,  Comedy,  Thriller"
170,6.4,"Action,  Adventure,  Animation,  Fantasy,  Romance,  Sci-Fi"
171,6.9,"Action,  Adventure,  Sci-Fi"
172,6.4,"Action,  Adventure,  Thriller"
173,7.4,"Action,  Adventure,  Drama,  History,  War"
174,5.5,"Adventure,  Drama,  Fantasy,  Romance"
175,5.9,"Animation,  Comedy,  Family,  Musical"
176,6.8,"Action,  Adventure,  Sci-Fi"
178,6.8,"Adventure,  Family,  Fantasy"
179,8.1,"Adventure,  Drama,  Thriller,  Western"
180,6.5,"Adventure,  Animation,  Comedy,  Family,  Sport"
181,7.2,"Adventure,  Animation,  Comedy,  Family,  Western"
182,6.7,"Adventure,  Animation,  Comedy,  Family"
183,8.1,"Action,  Mystery,  Thriller"
184,7.6,"Action,  Adventure,  Animation,  Comedy,  Family"
185,7.4,"Action,  Adventure,  Comedy,  Sci-Fi"
186,7.6,"Adventure,  Sci-Fi,  Thriller"
187,5.5,"Adventure,  Drama,  Fantasy,  Romance"
188,6.7,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Sci-Fi"
189,6.5,"Adventure,  Sci-Fi,  Thriller"
190,6.6,"Action,  Comedy,  Crime,  Thriller"
191,6.7,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy"
192,6.4,"Action,  Crime,  Mystery,  Thriller"
193,5.8,"Action,  Adventure,  Drama"
194,7.4,"Action,  Adventure,  Family,  Mystery"
195,7.8,"Adventure,  Family,  Fantasy,  Mystery"
196,6.6,"Adventure,  Drama,  Romance,  War"
197,4.9,"Action,  Adventure,  Sci-Fi"
198,6.5,"Adventure,  Animation,  Family,  Thriller"
200,6.2,"Adventure,  Comedy,  Family,  Fantasy"
201,7.3,"Action,  Animation,  Comedy,  Family,  Sci-Fi"
202,7.5,"Adventure,  Family,  Fantasy"
203,5.6,"Action,  Comedy,  Fantasy"
205,8.1,"Action,  Adventure,  Fantasy"
207,6.7,"Adventure,  Sci-Fi,  Thriller"
208,6.6,"Mystery,  Thriller"
209,6.4,"Adventure,  Animation,  Comedy,  Family,  Musical"
210,7.5,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
211,7.3,"Action,  Crime,  Thriller"
212,7.5,"Action,  Adventure,  Crime,  Mystery,  Thriller"
213,5.8,"Action,  Adventure,  Fantasy"
214,7.5,"Action,  Sci-Fi"
215,6.6,"Action,  Adventure,  History"
216,6.7,"Action,  Adventure,  Thriller"
217,3.7,Action
218,6.0,"Comedy,  Family,  Fantasy"
219,6.4,"Action,  Adventure,  Sci-Fi,  Thriller"
220,6.1,"Action,  Adventure,  Thriller"
221,6.4,"Action,  Adventure,  Drama,  Thriller"
222,5.6,"Action,  Adventure,  Sci-Fi,  Thriller"
223,8.0,"Adventure,  Drama,  Fantasy"
224,5.2,"Action,  Fantasy,  Thriller"
225,7.1,"Action,  Thriller"
226,4.8,"Action,  Adventure,  Comedy,  Crime"
227,7.0,"Adventure,  Mystery,  Sci-Fi"
228,5.4,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
229,6.6,"Action,  Drama,  Sci-Fi,  Thriller"
230,6.7,"Action,  Adventure,  Sci-Fi,  Thriller"
