Index,imdb_score,genres
529,6.9,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy"
530,6.8,"Comedy,  Romance"
531,6.7,"Comedy,  Drama,  Family,  Music,  Musical,  Romance"
532,5.1,"Horror,  Mystery,  Thriller"
533,4.1,"Action,  Adventure,  Comedy,  Family,  Sci-Fi"
534,7.3,"Crime,  Mystery,  Thriller"
535,6.0,Comedy
536,7.3,"Comedy,  Drama"
538,5.4,"Comedy,  Family"
539,5.9,"Action,  Adventure,  Drama,  Thriller"
540,7.1,"Biography,  Comedy,  Drama,  History"
541,6.0,"Adventure,  Animation,  Comedy,  Family"
542,6.5,"Drama,  Music,  Musical"
544,5.7,"Comedy,  Crime,  Music"
545,7.6,"Drama,  History,  Thriller"
546,6.6,"Action,  Drama,  Thriller,  War"
547,5.4,"Action,  Comedy,  Romance,  Thriller"
548,7.3,"Action,  Adventure,  Comedy"
549,6.5,"Comedy,  Drama,  Romance"
550,6.6,"Animation,  Comedy,  Family,  Fantasy,  Mystery"
551,6.6,"Comedy,  Crime,  Drama,  Romance"
552,5.9,"Action,  Adventure,  Romance,  Thriller"
553,6.7,"Drama,  History,  Romance"
554,6.1,"Action,  Drama,  Fantasy,  Romance"
555,6.6,"Action,  Crime,  Drama,  Mystery,  Thriller"
556,6.6,"Action,  Adventure,  Animation,  Family,  Sci-Fi"
557,5.3,"Action,  Comedy,  Crime,  Thriller"
558,6.0,"Action,  Drama,  Sci-Fi"
560,4.7,"Animation,  Comedy,  Fantasy"
561,6.1,"Action,  Adventure,  Drama,  Thriller"
562,7.2,"Drama,  Mystery,  Sci-Fi,  Thriller"
563,6.4,"Action,  Animation,  Comedy,  Family,  Sci-Fi"
564,6.1,"Action,  Fantasy"
565,5.9,"Crime,  Mystery,  Thriller"
566,6.0,"Drama,  Mystery,  Sci-Fi,  Thriller"
567,6.3,"Action,  Animation,  Comedy,  Family"
568,5.6,"Action,  Adventure,  Comedy,  Romance,  Thriller"
569,6.4,"Comedy,  Drama"
570,7.1,"Action,  Drama,  Thriller"
571,6.6,"Action,  Comedy,  Sport"
572,4.6,"Comedy,  Family,  Fantasy"
573,8.4,"Biography,  Drama,  History,  War"
574,7.1,"Action,  Drama,  War"
575,7.4,"Adventure,  Animation,  Comedy"
576,6.9,"Drama,  Romance"
577,4.5,"Action,  Drama,  Sport"
578,7.1,"Adventure,  Drama,  Family"
579,6.5,"Drama,  Mystery,  Romance,  Thriller"
580,5.3,"Comedy,  Family,  Fantasy"
581,6.7,"Drama,  Sci-Fi,  Thriller"
582,7.2,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Romance"
583,7.2,"Adventure,  Animation,  Comedy,  Family,  Sport"
584,5.5,"Comedy,  Romance"
585,5.8,"Action,  Adventure,  Thriller"
586,6.0,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
587,6.6,"Crime,  Thriller"
588,8.3,"Adventure,  Drama,  War"
589,6.7,"Adventure,  Comedy,  Family,  Fantasy"
590,6.0,"Action,  Adventure"
591,7.1,"Action,  Thriller"
592,6.0,"Action,  Adventure,  Crime,  Thriller"
594,6.9,"Fantasy,  Mystery,  Romance,  Sci-Fi,  Thriller"
595,5.6,"Drama,  Fantasy,  Mystery,  Thriller"
596,5.6,"Action,  Horror,  Sci-Fi,  Thriller"
597,4.5,"Animation,  Comedy,  Family,  Fantasy,  Music"
598,7.1,"Action,  Drama,  History,  War"
599,6.5,"Action,  Thriller"
600,6.4,"Action,  Adventure,  Sci-Fi,  Thriller"
601,5.8,"Action,  Sci-Fi"
602,8.0,"Adventure,  Drama,  Fantasy"
603,6.2,"Drama,  Horror,  Romance,  Thriller"
604,7.2,"Drama,  War"
605,6.1,"Drama,  War"
606,7.6,"Adventure,  Drama,  Sci-Fi,  Thriller"
607,6.3,Drama
608,6.3,"Action,  Drama,  Fantasy,  Horror,  War"
609,6.3,"Action,  Thriller"
610,7.7,"Adventure,  Family,  Fantasy,  Romance"
611,7.0,"Adventure,  Biography,  Drama,  History,  War"
612,5.3,"Comedy,  Drama"
613,5.6,"Action,  Adventure,  Comedy,  Thriller"
614,5.2,"Action,  Adventure,  Horror,  Sci-Fi"
615,5.4,"Action,  Adventure,  Comedy,  Thriller"
616,6.4,"Action,  Fantasy,  Horror"
617,5.9,"Comedy,  Drama,  Musical,  Romance"
618,6.3,"Drama,  War"
619,6.5,"Action,  Crime,  Thriller"
620,3.0,"Action,  Sci-Fi,  Sport"
621,3.6,"Action,  Crime,  Sci-Fi,  Thriller"
622,5.8,"Action,  Crime,  Drama,  Thriller"
623,6.2,"Action,  Adventure,  Animation,  Comedy,  Crime,  Family,  Fantasy"
625,5.4,"Action,  Crime,  Drama,  Mystery,  Thriller"
626,6.1,"Action,  Adventure,  Mystery,  Sci-Fi,  Thriller"
627,4.2,"Crime,  Mystery,  Thriller"
628,6.7,"Action,  Crime,  Mystery,  Sci-Fi,  Thriller"
629,4.2,"Action,  Adventure,  Fantasy"
630,6.4,"Action,  Drama,  Thriller"
631,4.9,"Adventure,  Drama,  Fantasy,  Romance"
632,6.8,"Crime,  Drama,  Thriller"
633,7.7,"Animation,  Comedy,  Family"
634,5.6,"Action,  Comedy,  Crime,  Drama,  Thriller"
635,6.4,Comedy
636,7.2,"Adventure,  Drama,  History,  Romance"
637,6.0,"Action,  Comedy,  Fantasy,  Sci-Fi"
638,5.9,"Comedy,  Romance"
639,7.9,"Biography,  Drama,  Thriller"
641,7.1,"Action,  Drama,  Thriller"
643,5.9,"Action,  Fantasy,  Horror"
644,6.2,"Action,  Crime,  Romance,  Thriller"
646,7.0,"Drama,  Mystery,  Sci-Fi,  Thriller"
647,5.4,"Action,  Adventure,  Fantasy,  War"
648,8.6,"Action,  Drama,  War"
649,6.5,"Action,  Crime,  Drama,  Thriller"
650,6.4,"Comedy,  Fantasy,  Romance"
651,7.6,"Adventure,  Animation,  Comedy,  Family"
652,5.5,"Drama,  Horror,  Sci-Fi,  Thriller"
653,7.4,"Biography,  Drama,  History,  War"
654,8.7,"Action,  Sci-Fi"
655,7.6,"Adventure,  Drama,  History"
656,7.5,"Action,  Sci-Fi"
657,5.5,"Comedy,  Family,  Fantasy"
658,7.6,"Drama,  Musical,  Romance"
659,6.5,"Comedy,  Drama,  Romance"
660,6.9,Comedy
661,6.7,"Action,  Adventure,  Comedy,  Romance,  Thriller,  Western"
662,6.6,"Comedy,  Drama"
663,7.2,"Biography,  Drama,  Sport,  War"
664,6.4,"Action,  Adventure,  Thriller"
665,6.4,"Action,  Adventure,  Thriller"
666,6.0,"Action,  Crime,  Thriller"
667,6.1,"Comedy,  Family,  Fantasy"
668,6.0,"Drama,  History,  Thriller"
669,6.4,Drama
670,6.4,"Comedy,  Romance"
671,7.3,"Drama,  Mystery,  Thriller"
672,5.2,"Comedy,  Drama,  Family,  Musical"
673,6.6,"Comedy,  Crime,  Drama,  Romance"
674,6.3,"Action,  Comedy,  Romance"
675,5.9,"Action,  Adventure,  Fantasy,  Horror,  Sci-Fi,  Thriller"
677,6.7,"Comedy,  Drama"
678,5.4,"Action,  Horror,  Sci-Fi,  Thriller"
679,6.4,"Action,  Sci-Fi,  Thriller"
680,6.7,"Action,  Crime,  Drama,  Mystery,  Thriller"
681,6.2,"Action,  Drama,  Thriller"
682,6.1,"Action,  Adventure,  Comedy,  Family,  Fantasy,  Sci-Fi"
683,8.8,Drama
684,7.1,"Drama,  Sport"
686,5.7,"Action,  Adventure,  Comedy"
687,5.0,"Comedy,  Crime"
688,5.1,"Action,  Fantasy,  Sci-Fi,  Thriller"
689,6.9,"Crime,  Drama"
690,4.8,"Action,  Crime,  Fantasy,  Thriller"
691,6.5,"Action,  Crime,  Thriller"
692,5.1,"Drama,  Mystery,  Romance"
693,7.1,"Adventure,  Biography,  Drama,  History,  Sport,  Thriller"
694,7.5,"Crime,  Drama,  Fantasy"
695,6.2,"Action,  Comedy,  Crime"
696,6.3,"Action,  Animation,  Comedy,  Family,  Sci-Fi"
697,8.1,"Adventure,  Sci-Fi,  Thriller"
698,6.6,"Adventure,  Biography,  Crime,  Drama,  Western"
699,6.9,"Action,  Crime,  Drama,  Thriller"
700,6.1,"Action,  Adventure,  Drama,  History"
701,4.3,"Comedy,  Crime"
702,6.6,"Action,  War"
703,6.8,"Comedy,  Drama,  Romance"
704,3.8,"Comedy,  Romance,  Sport"
705,5.9,"Action,  Comedy,  Crime,  Thriller"
706,7.9,"Crime,  Drama,  Mystery,  Thriller,  Western"
707,6.3,"Comedy,  Sport"
708,5.5,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
709,7.7,"Action,  Drama,  Fantasy,  War"
710,6.3,"Comedy,  Romance"
711,7.1,"Comedy,  Drama,  Family"
712,8.5,"Crime,  Drama,  Fantasy,  Mystery"
714,5.8,"Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
715,8.1,"Crime,  Drama,  Mystery,  Thriller"
716,7.9,"Action,  Mystery,  Thriller"
717,7.2,"Action,  Adventure,  Thriller"
718,6.3,"Drama,  Mystery,  Thriller"
719,8.1,"Comedy,  Drama,  Sci-Fi"
720,7.0,"Adventure,  Animation,  Biography,  Drama,  Family,  Fantasy,  Musical"
721,5.5,"Comedy,  Family"
722,6.7,"Action,  Comedy,  Crime,  Drama,  Thriller"
723,5.2,"Action,  Comedy,  Family,  Fantasy"
724,7.0,"Action,  Crime,  Thriller"
725,6.1,"Comedy,  Romance"
726,6.6,"Adventure,  Animation,  Comedy,  Family"
727,5.5,Comedy
728,5.9,"Action,  Drama,  Sport"
729,5.4,"Adventure,  Comedy,  Family"
730,6.4,"Action,  Sci-Fi,  Thriller"
731,5.7,"Drama,  Romance"
732,6.7,"Comedy,  Drama,  Fantasy,  Romance"
733,7.1,"Action,  Comedy,  Crime,  Thriller"
734,6.8,"Drama,  Sport"
735,6.5,"Drama,  Romance,  Western"
736,7.6,"Crime,  Drama,  Thriller"
737,5.5,"Action,  Adventure,  Fantasy,  Thriller"
738,6.5,"Action,  Drama,  Thriller"
739,7.0,"Action,  Crime,  Mystery,  Thriller"
740,5.8,"Action,  Sci-Fi,  Thriller"
741,7.3,"Documentary,  Music"
742,6.6,"Drama,  Thriller"
743,4.4,"Action,  Adventure,  Comedy,  Crime"
744,7.7,"Animation,  Family,  Fantasy"
745,5.0,"Sci-Fi,  Thriller"
746,7.7,"Action,  Crime,  Drama,  Thriller"
747,4.4,"Comedy,  Family,  Fantasy"
748,6.1,"Comedy,  Crime"
749,5.4,"Comedy,  Family"
750,6.8,"Action,  Fantasy,  Horror,  Sci-Fi"
751,6.5,Drama
752,7.0,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
753,6.3,"Action,  Adventure,  Crime,  Thriller"
754,6.3,"Action,  Mystery,  Sci-Fi,  Thriller"
755,6.1,"Drama,  Romance"
756,6.1,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
758,5.3,"Action,  Comedy,  Sci-Fi"
759,5.4,"Action,  Thriller"
760,6.2,"Action,  Drama,  Thriller"
761,6.6,"Biography,  Comedy,  Drama"
762,5.9,"Action,  Crime,  Drama,  Thriller"
763,6.3,"Action,  Horror,  Sci-Fi"
764,7.2,"Action,  Crime,  Drama,  Mystery,  Thriller"
765,6.8,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
766,6.1,"Comedy,  Drama,  Fantasy,  Romance"
767,7.8,"Action,  Adventure,  Animation,  Comedy,  Family,  Fantasy"
768,5.0,"Action,  Comedy,  Crime"
769,6.2,"Action,  Adventure,  Fantasy,  Sci-Fi,  Thriller"
770,6.7,"Action,  Crime,  Drama,  Thriller"
771,4.9,"Adventure,  Comedy"
772,7.4,"Biography,  Drama,  History,  Sport"
774,6.2,"Comedy,  Crime,  Romance,  Thriller"
775,4.9,"Comedy,  Family,  Sci-Fi"
776,6.1,"Action,  Crime,  Thriller"
777,6.1,"Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
778,6.4,"Action,  Adventure,  Sci-Fi,  Thriller"
779,6.3,"Comedy,  Crime,  Romance"
781,6.6,"Crime,  Drama,  Mystery,  Thriller"
782,5.7,"Horror,  Mystery,  Sci-Fi,  Thriller"
783,5.9,"Comedy,  Crime"
784,6.0,"Action,  Crime,  Drama,  Mystery,  Thriller"
785,6.1,"Action,  Crime,  Drama,  Thriller"
786,6.7,"Biography,  Drama,  Music"
787,6.7,"Drama,  Fantasy,  Sport"
788,7.9,"Adventure,  Comedy,  Drama,  Music"
790,4.3,"Action,  Adventure,  Crime,  Thriller"
791,5.7,"Action,  Fantasy,  Horror,  Sci-Fi,  Thriller"
792,6.7,"Adventure,  Animation,  Comedy,  Drama,  Family,  Fantasy,  Romance"
793,6.7,"Horror,  Sci-Fi,  Thriller"
794,8.1,"Action,  Adventure,  Sci-Fi"
795,6.1,"Drama,  Fantasy,  Mystery,  Romance,  Thriller"
796,5.6,"Crime,  Drama,  Mystery,  Thriller"
797,6.6,"Action,  Adventure,  Drama,  History,  Romance,  War"
798,6.9,"Action,  Drama,  Thriller"
799,4.8,"Horror,  Sci-Fi,  Thriller"
800,6.2,"Drama,  Fantasy,  Mystery,  Romance"
801,6.0,"Fantasy,  Horror,  Mystery,  Romance"
802,4.9,"Adventure,  Comedy,  Family,  Romance,  Sci-Fi"
803,5.6,"Drama,  Horror,  Thriller"
804,6.1,"Comedy,  Drama"
805,6.1,"Adventure,  Family,  Fantasy"
806,4.8,"Action,  Crime,  Fantasy,  Thriller"
807,5.5,"Action,  Comedy,  Mystery,  Romance"
808,3.8,"Action,  Adventure,  Fantasy,  Thriller"
809,6.5,"Adventure,  Drama,  Romance,  War"
811,6.7,"Action,  Drama,  War"
812,8.1,"Action,  Adventure,  Comedy,  Romance,  Sci-Fi"
813,4.9,"Comedy,  Drama"
814,7.3,"Action,  Biography,  Drama,  History,  Thriller,  War"
815,6.4,"Adventure,  Comedy,  Family,  Fantasy,  Horror"
817,6.7,"Comedy,  Fantasy,  Romance"
818,3.6,"Comedy,  Family,  Romance,  Sci-Fi"
819,5.7,"Action,  Adventure,  Thriller,  War"
820,6.0,"Comedy,  Drama,  Romance,  Sport"
822,4.7,"Comedy,  Drama,  Romance"
823,6.3,Comedy
824,5.9,"Action,  Adventure,  Horror,  Sci-Fi"
825,5.9,"Action,  Adventure,  Drama,  History,  War"
827,7.5,"Drama,  Mystery,  Thriller"
828,5.6,Comedy
829,6.4,"Action,  Adventure,  Fantasy"
830,6.3,"Action,  Comedy,  Crime,  Drama"
831,4.3,"Action,  Fantasy,  Thriller"
832,5.9,"Drama,  Music,  Romance,  War"
834,5.5,"Action,  Comedy,  Drama,  Family,  Thriller"
835,6.2,"Action,  Crime"
836,8.8,"Comedy,  Drama"
837,5.2,"Animation,  Comedy,  Family,  Fantasy,  Music"
838,7.0,Comedy
839,6.6,"Adventure,  Animation,  Drama,  Family,  History,  Musical,  Romance"
840,7.3,"Action,  Adventure,  Drama,  Romance,  Sci-Fi"
841,5.6,"Comedy,  Romance,  Sci-Fi"
842,6.6,"Comedy,  Romance"
843,5.4,"Action,  Adventure,  Comedy,  Family,  Romance"
844,6.3,"Comedy,  Romance"
845,7.9,"Biography,  Drama,  Thriller"
846,6.3,"Comedy,  Crime,  Romance,  Thriller"
847,6.0,"Comedy,  Family,  Fantasy"
848,7.2,"Action,  Crime,  Thriller"
849,5.1,"Comedy,  Drama,  Romance"
850,7.3,"Action,  Drama,  Thriller,  War"
851,8.0,"Biography,  Drama"
852,6.2,"Drama,  Mystery,  Thriller"
853,6.0,"Drama,  Thriller"
854,6.7,"Drama,  Fantasy,  Romance"
855,8.1,Action
856,6.4,Comedy
858,8.0,"Action,  Crime,  Drama,  Thriller"
859,6.3,"Action,  Comedy,  Crime,  Thriller"
860,6.4,"Comedy,  Fantasy,  Horror"
861,6.6,"Action,  Adventure,  Comedy,  Western"
862,6.4,"Action,  Adventure,  Thriller"
863,6.0,"Comedy,  Family,  Fantasy"
864,6.6,"Action,  Adventure,  Fantasy"
865,5.9,"Adventure,  Animation,  Comedy,  Family"
866,6.4,"Action,  Horror,  Sci-Fi"
867,6.3,"Biography,  Drama,  History,  Musical"
868,7.3,"Action,  Adventure,  Crime,  Thriller"
869,6.8,"Adventure,  Drama,  Horror,  Thriller"
870,7.2,"Animation,  Comedy,  Family,  Fantasy"
871,5.7,"Action,  Comedy,  Sci-Fi"
872,6.0,"Action,  Crime,  Drama,  Thriller"
873,6.5,"Drama,  Thriller"
874,5.8,Comedy
875,5.8,"Comedy,  Sport"
876,6.7,"Adventure,  Animation,  Comedy,  Family"
877,7.8,"Crime,  Drama,  Mystery,  Thriller"
878,5.6,"Action,  Drama,  Sci-Fi,  Thriller"
879,5.8,"Action,  Drama,  Sport,  Thriller"
880,7.4,"Drama,  Musical,  Romance,  Thriller"
881,6.9,"Biography,  Drama,  History,  War"
882,5.5,"Action,  Sci-Fi"
883,6.3,"Drama,  History,  War"
884,4.7,"Action,  Thriller"
885,5.6,"Comedy,  Drama,  Family,  Fantasy"
886,6.4,"Adventure,  Comedy,  Crime,  Family,  Musical"
887,4.2,"Action,  Adventure,  Comedy,  Family,  Sci-Fi"
888,6.4,"Drama,  Music,  Musical,  Romance"
889,7.7,"Drama,  Mystery,  Romance,  War"
892,6.7,"Action,  Horror,  Sci-Fi,  Thriller"
893,7.7,"Drama,  Romance"
894,5.7,"Action,  Thriller"
895,7.6,"Crime,  Drama"
896,6.4,"Comedy,  Drama,  Romance"
897,5.6,"Comedy,  Romance"
898,6.8,"Action,  Adventure,  Romance,  Sci-Fi"
899,2.4,"Comedy,  Crime,  Romance"
900,6.2,"Drama,  Thriller"
901,5.9,"Action,  Crime,  Thriller"
902,7.1,"Adventure,  Animation,  Drama,  Family,  Fantasy,  Musical,  Mystery,  Romance"
903,7.6,"Drama,  Musical,  Romance"
904,5.5,"Crime,  Mystery,  Thriller"
905,7.0,"Biography,  Crime,  Drama"
906,7.1,"Drama,  History,  War"
907,7.4,"Crime,  Drama,  Thriller"
908,7.6,"Action,  Horror,  Thriller"
909,5.9,"Drama,  History,  Horror"
910,5.9,"Drama,  Romance,  Sport"
911,8.0,"Biography,  Crime,  Drama"
912,7.4,"Drama,  History,  Thriller"
913,5.8,"Comedy,  Drama,  Romance"
914,6.3,"Comedy,  Family,  Musical,  Romance"
915,5.7,"Comedy,  Romance"
916,5.1,"Action,  Adventure,  Comedy"
917,7.6,"Drama,  War"
918,6.4,"Comedy,  Fantasy"
919,7.4,"Biography,  Comedy,  Drama"
920,8.2,"Biography,  Crime,  Drama"
921,6.5,"Action,  Thriller"
922,5.5,"Action,  Comedy,  Fantasy"
923,6.5,Comedy
924,5.6,"Animation,  Comedy,  Family"
926,4.6,"Adventure,  Drama,  Fantasy,  Romance"
927,7.9,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
928,7.1,"Romance,  Sci-Fi,  Thriller"
929,6.9,"Action,  Adventure,  Drama,  Romance"
930,7.3,"Comedy,  Drama,  Romance,  Sport"
931,7.0,"Comedy,  Fantasy"
932,7.7,"Comedy,  Drama,  Romance"
933,6.7,"Biography,  Comedy,  Drama,  Romance"
934,6.3,Comedy
935,5.8,"Comedy,  Romance"
936,7.1,"Mystery,  Sci-Fi,  Thriller"
937,7.3,"Biography,  Drama"
938,6.4,"Comedy,  Romance"
939,7.1,"Action,  Comedy,  Crime"
940,7.6,"Drama,  Fantasy,  Horror"
941,6.8,"Comedy,  Romance"
942,6.6,"Action,  Comedy,  Crime"
943,6.7,"Comedy,  Drama"
944,6.1,"Comedy,  Family"
945,6.0,"Adventure,  Comedy,  Drama,  Fantasy,  Musical"
946,7.6,"Crime,  Drama,  Mystery,  Thriller"
947,7.1,"Action,  Crime,  Drama,  Thriller"
948,5.0,"Action,  Adventure,  Mystery,  Sci-Fi"
950,6.2,"Drama,  Mystery,  Sci-Fi,  Thriller"
951,5.6,"Comedy,  Romance"
953,7.4,"Comedy,  Drama,  Romance"
954,5.0,"Animation,  Comedy,  Family,  Fantasy"
955,5.2,"Comedy,  Family"
956,7.6,"Biography,  Drama,  Sport"
957,6.6,"Action,  Drama,  Thriller"
958,7.0,"Action,  Mystery,  Thriller"
959,5.7,"Action,  Adventure,  Family,  Fantasy,  Sci-Fi,  Thriller"
960,8.2,"Action,  Drama,  Thriller"
961,6.2,"Action,  Adventure,  Comedy"
963,6.6,"Adventure,  Animation,  Comedy,  Family"
964,4.7,"Adventure,  Comedy,  Family,  Fantasy,  Romance,  Sport"
965,6.3,"Crime,  Drama,  Mystery,  Thriller"
966,6.1,"Action,  Fantasy,  Horror"
967,6.7,"Drama,  Thriller"
968,6.1,"Action,  Adventure,  Sci-Fi,  Thriller"
969,7.0,"Drama,  Thriller"
970,7.4,"Action,  Drama,  Thriller,  War"
971,7.3,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Romance"
972,5.8,"Crime,  Thriller"
973,6.7,"Action,  Crime,  Drama,  Thriller"
974,5.8,"Action,  Drama,  War"
975,7.8,"Drama,  Mystery,  Thriller"
976,6.6,"Adventure,  Horror,  Mystery"
977,6.5,"Comedy,  Sport"
978,6.7,Comedy
979,7.3,"Action,  Crime,  Drama,  Mystery,  Thriller"
980,5.8,"Action,  Thriller"
981,5.5,"Action,  Comedy,  Crime,  Thriller"
982,6.3,"Comedy,  Fantasy,  Horror"
983,7.4,"Crime,  Drama"
984,5.9,"Action,  Thriller"
985,6.2,"Action,  Horror,  Sci-Fi,  Thriller"
986,5.9,"Comedy,  Drama,  Romance"
987,6.5,"Crime,  Drama,  Romance,  Thriller"
988,4.4,"Action,  Adventure,  Thriller"
989,3.5,"Action,  Adventure,  Family,  Fantasy"
990,6.6,"Adventure,  Drama,  Thriller"
991,6.0,"Comedy,  Drama,  Romance"
992,6.4,"Action,  Crime,  Thriller"
993,6.5,"Drama,  Romance,  Sport"
995,4.3,"Comedy,  Crime,  Drama,  Thriller"
996,4.2,"Comedy,  Family"
997,6.5,"Drama,  Fantasy"
998,6.1,"Crime,  Mystery,  Thriller"
999,6.3,"Action,  Crime,  Thriller"
1000,6.2,"Crime,  Drama,  Thriller"
1001,5.9,"Comedy,  Drama,  Romance"
1002,5.9,"Action,  Adventure,  Romance,  Sci-Fi,  Thriller"
1003,6.5,"Action,  Crime,  Drama,  Mystery,  Thriller"
1004,6.4,"Action,  Crime,  Drama,  Mystery,  Thriller"
1005,6.5,"Action,  Crime,  Drama,  Mystery,  Thriller"
1006,5.7,"Action,  Adventure,  Sci-Fi,  Thriller"
1008,8.0,"Action,  Adventure,  Animation,  Comedy,  Drama,  Family,  Sci-Fi"
1009,7.3,"Adventure,  Comedy,  Drama"
1010,6.7,"Action,  Biography,  Drama,  History,  War"
1011,7.5,"Crime,  Drama,  Thriller"
1012,5.4,"Action,  Comedy"
1013,6.6,"Action,  Crime,  Drama,  Thriller"
1014,7.7,"Crime,  Mystery,  Thriller"
1015,5.8,"Action,  Adventure,  Crime,  Thriller"
1016,6.4,"Adventure,  Biography,  Drama,  History,  War"
1017,5.6,"Adventure,  Comedy,  Fantasy"
1018,6.0,"Drama,  Mystery,  Thriller"
1019,6.2,"Crime,  Drama,  Thriller"
1020,5.9,"Adventure,  Comedy,  Crime,  Drama,  Family"
1021,5.1,"Drama,  Romance"
1022,6.8,"Biography,  Drama,  Thriller"
1024,6.0,"Action,  Biography,  Crime,  Drama,  Thriller"
1025,5.1,"Crime,  Drama,  Thriller"
1026,5.8,"Action,  Sci-Fi,  Thriller"
1027,6.2,"Drama,  Fantasy,  Romance"
1028,6.4,"Comedy,  Crime,  Drama,  Thriller"
1029,4.8,Comedy
1030,4.9,"Comedy,  Crime"
1031,5.6,"Comedy,  Sci-Fi"
1032,5.5,"Action,  Fantasy,  Thriller"
1033,3.7,"Action,  Crime,  Drama,  Mystery,  Thriller"
1034,5.9,"Action,  Sci-Fi,  Thriller"
1036,6.3,"Action,  Adventure,  Comedy,  Crime,  Music,  Mystery"
1038,7.6,"Crime,  Drama,  Thriller"
1039,8.3,"Action,  Adventure,  Fantasy"
1041,6.9,"Action,  Crime,  Drama,  Sci-Fi,  Thriller"
1042,6.7,"Crime,  Drama,  Mystery,  Thriller"
1043,6.8,"Crime,  Drama,  Thriller"
1045,7.1,"Action,  Adventure,  Comedy,  Drama,  War"
1046,6.4,"Crime,  Drama,  Thriller"
1047,6.4,"Adventure,  Comedy"
1048,7.4,"Drama,  Mystery,  Sci-Fi"
1049,6.4,"Comedy,  Fantasy,  Romance"
1050,6.0,"Comedy,  Fantasy,  Romance"
1051,6.5,"Crime,  Drama,  Music"
1052,7.8,"Adventure,  Crime,  Drama,  Western"
1053,6.0,"Action,  Thriller"
1054,7.0,"Crime,  Drama,  Romance,  Thriller"
1055,6.0,"Comedy,  Drama,  Thriller"
1057,6.1,"Action,  Comedy,  Crime,  Music,  Romance,  Thriller"
1058,6.8,"Crime,  Romance,  Thriller"
1059,6.4,"Biography,  Comedy,  Drama"
1062,4.5,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
1063,5.8,"Drama,  Horror,  Romance,  Thriller"
1064,6.3,"Comedy,  Romance"
1065,5.7,"Comedy,  Romance"
1066,7.2,"Drama,  Mystery,  Thriller"
1067,7.6,"Action,  Adventure,  Drama,  Sci-Fi,  Thriller"
1068,4.7,"Action,  Drama,  Fantasy,  Thriller,  Western"
1069,6.6,"Action,  Drama,  Mystery,  Thriller,  War"
1070,6.8,"Comedy,  Fantasy,  Romance"
1073,4.8,"Comedy,  Family,  Fantasy"
1074,6.3,"Action,  Crime,  Thriller"
1075,5.5,Comedy
1076,6.2,"Action,  Comedy,  Crime,  Romance"
1077,5.8,"Action,  Adventure,  Family,  Fantasy,  Sci-Fi"
1078,5.7,"Comedy,  Family,  Romance"
1079,6.5,"Crime,  Drama,  Mystery,  Thriller"
1080,6.7,"Crime,  Drama,  Mystery,  Thriller"
1081,7.4,"Adventure,  Comedy,  Drama"
1082,6.9,"Action,  Thriller"
1083,5.5,"Comedy,  Romance"
1084,8.1,"Crime,  Drama,  Mystery,  Thriller"
1085,7.7,"Crime,  Drama,  Thriller"
1086,7.3,"Adventure,  Comedy,  Sci-Fi"
1087,5.2,Comedy
1088,7.1,"Adventure,  Comedy,  Family,  Musical"
1089,7.1,"Action,  Horror"
1090,7.2,"Drama,  Sport"
1091,6.5,"Drama,  Thriller"
1092,4.6,"Action,  Adventure,  Horror,  Thriller"
1093,5.6,"Comedy,  Drama,  Music,  Romance"
1094,7.7,"Comedy,  Drama,  Romance"
1095,7.2,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
1096,6.8,"Horror,  Mystery,  Thriller"
1097,5.4,"Action,  Crime,  Drama,  Romance,  Thriller"
1098,6.3,"Comedy,  Drama,  Romance,  Sport"
1100,5.6,"Comedy,  Family,  Romance,  Sport"
1101,6.8,"Adventure,  Comedy,  Sci-Fi"
1102,4.3,"Comedy,  Family,  Fantasy,  Romance"
1103,6.3,"Action,  Horror,  Sci-Fi,  Thriller"
1104,6.5,"Comedy,  Romance"
1105,6.4,"Adventure,  Comedy,  Drama"
1106,6.3,"Action,  Adventure,  Crime,  Thriller"
1107,5.9,"Drama,  Family,  Fantasy"
1108,6.5,"Crime,  Drama,  Thriller"
1109,6.5,"Action,  Crime,  Thriller"
1110,6.1,"Action,  Adventure,  Comedy"
1111,5.9,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
1112,6.6,"Action,  Adventure,  Sci-Fi"
1113,7.4,"Drama,  Fantasy,  Musical,  Romance"
1114,7.3,"Drama,  Romance"
1115,6.6,"Action,  Crime,  Drama,  Thriller"
1116,5.6,"Action,  Adventure,  Sci-Fi,  Thriller"
1117,5.3,"Action,  Comedy,  Crime,  Drama,  Thriller"
1118,6.0,"Comedy,  Romance,  Sci-Fi"
