imdb_id,cast
tt0121765,"Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson"
tt0121766,"Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Samuel L. Jackson"
tt0122459,"David Duchovny,  Minnie Driver,  Carroll O'Connor,  Robert Loggia,  Jim Belushi, David Duchovny,  Minnie Driver,  Carroll O'Connor,  Robert Loggia,  Jim Belushi, David Duchovny,  Minnie Driver,  Carroll O'Connor,  Robert Loggia,  Jim Belushi, David Duchovny,  Minnie Driver,  Carroll O'Connor,  Robert Loggia,  Jim Belushi, David Duchovny,  Minnie Driver,  Carroll O'Connor,  Robert Loggia,  Jim Belushi"
tt0126029,"Mike Myers,  Eddie Murphy,  Cameron Diaz,  John Lithgow,  Vincent Cassel, Mike Myers,  Eddie Murphy,  Cameron Diaz,  John Lithgow,  Vincent Cassel, Mike Myers,  Eddie Murphy,  Cameron Diaz,  John Lithgow,  Vincent Cassel, Mike Myers,  Eddie Murphy,  Cameron Diaz,  John Lithgow,  Vincent Cassel, Mike Myers,  Eddie Murphy,  Cameron Diaz,  John Lithgow,  Vincent Cassel"
tt0130623,"D. B. Sweeney,  Alfre Woodard,  Ossie Davis,  Max Casella,  Hayden Panettiere, D. B. Sweeney,  Alfre Woodard,  Ossie Davis,  Max Casella,  Hayden Panettiere, D. B. Sweeney,  Alfre Woodard,  Ossie Davis,  Max Casella,  Hayden Panettiere, D. B. Sweeney,  Alfre Woodard,  Ossie Davis,  Max Casella,  Hayden Panettiere, D. B. Sweeney,  Alfre Woodard,  Ossie Davis,  Max Casella,  Hayden Panettiere"
tt0131704,"Rene Russo,  Jason Alexander,  Piper Perabo,  Randy Quaid,  Robert De Niro, Rene Russo,  Jason Alexander,  Piper Perabo,  Randy Quaid,  Robert De Niro, Rene Russo,  Jason Alexander,  Piper Perabo,  Randy Quaid,  Robert De Niro, Rene Russo,  Jason Alexander,  Piper Perabo,  Randy Quaid,  Robert De Niro, Rene Russo,  Jason Alexander,  Piper Perabo,  Randy Quaid,  Robert De Niro"
tt0132245,"Kip Pardue,  Robert Sean Leonard,  Til Schweiger,  Estella Warren,  Sylvester Stallone, Kip Pardue,  Robert Sean Leonard,  Til Schweiger,  Estella Warren,  Sylvester Stallone, Kip Pardue,  Robert Sean Leonard,  Til Schweiger,  Estella Warren,  Sylvester Stallone, Kip Pardue,  Robert Sean Leonard,  Til Schweiger,  Estella Warren,  Sylvester Stallone, Kip Pardue,  Robert Sean Leonard,  Til Schweiger,  Estella Warren,  Sylvester Stallone"
tt0133152,"Mark Wahlberg,  Tim Roth,  Helena Bonham Carter,  Michael Clarke Duncan,  Kris Kristofferson, Mark Wahlberg,  Tim Roth,  Helena Bonham Carter,  Michael Clarke Duncan,  Kris Kristofferson, Mark Wahlberg,  Tim Roth,  Helena Bonham Carter,  Michael Clarke Duncan,  Kris Kristofferson, Mark Wahlberg,  Tim Roth,  Helena Bonham Carter,  Michael Clarke Duncan,  Kris Kristofferson, Mark Wahlberg,  Tim Roth,  Helena Bonham Carter,  Michael Clarke Duncan,  Kris Kristofferson"
tt0133240,"Joseph Gordon-Levitt,  David Hyde Pierce,  Emma Thompson,  Roscoe Lee Browne,  Martin Short, Joseph Gordon-Levitt,  David Hyde Pierce,  Emma Thompson,  Roscoe Lee Browne,  Martin Short, Joseph Gordon-Levitt,  David Hyde Pierce,  Emma Thompson,  Roscoe Lee Browne,  Martin Short, Joseph Gordon-Levitt,  David Hyde Pierce,  Emma Thompson,  Roscoe Lee Browne,  Martin Short, Joseph Gordon-Levitt,  David Hyde Pierce,  Emma Thompson,  Roscoe Lee Browne,  Martin Short"
tt0134084,"David Arquette,  Neve Campbell,  Courteney Cox,  Patrick Dempsey,  Scott Foley, David Arquette,  Neve Campbell,  Courteney Cox,  Patrick Dempsey,  Scott Foley, David Arquette,  Neve Campbell,  Courteney Cox,  Patrick Dempsey,  Scott Foley, David Arquette,  Neve Campbell,  Courteney Cox,  Patrick Dempsey,  Scott Foley, David Arquette,  Neve Campbell,  Courteney Cox,  Patrick Dempsey,  Scott Foley"
