Territory,Current Executive,Took Office,Term ends,Past,Prior experience
American Samoa,Lolo Matalasi Moliga,3-Jan-13,2021,List, American Samoa House of Representatives
District of Columbia,Muriel Bowser,2-Jan-15,2019,List,Council of the District of Columbia
Guam,Eddie Baza Calvo,3-Jan-11,2019 (term limits),List,Legislature of Guam
Northern Mariana Islands,Ralph Torres,29-Dec-15,2019,List,"Lieutenant Governor,  Northern Mariana Islands Legislature"
U. S. Virgin Islands,Kenneth Mapp,5-Jan-15,2019,List,Lieutenant Governor
