Kentucky,Vermont,Nevada,Ohio,Wisconsin,Oregon,Colorado,Alaska,Maine,Illinois,Mississippi,Indiana,California,Utah,South Dakota,Rhode Island,Iowa,Virginia,Texas,New Jersey,Hawaii,Arizona,South Carolina,Arkansas,Tennessee,Alabama,Pennsylvania,Idaho,North Dakota,West Virginia,Montana,Oklahoma,Nebraska,Connecticut,Florida,Minnesota,Maryland,Washington,North Carolina,Michigan,New York,Delaware
2.90%,2.00%,3.70%,1.80%,2.20%,3.80%,3.30%,0.40%,1.60%,2.20%,1.60%,2.20%,3.50%,4.90%,1.60%,1.00%,1.70%,1.20%,3.20%,0.90%,0.90%,2.40%,2.80%,1.10%,2.20%,1.90%,1.00%,3.00%,1.40%,-1.70%,3.10%,0.80%,2.30%,1.20%,4.50%,1.80%,1.00%,2.90%,3.10%,3.20%,1.80%,1.50%
"280,835","60,312","205,980","763,418","341,935","278,839","480,847","55,521","113,012","968,330","211,955","403,546","3,206,958","216,280","64,006","76,747","207,167","576,446","2,205,149","670,765","104,707","451,951","329,431","198,380","495,703","322,025","811,890","122,221","53,263","88,136","86,969","276,218","131,518","272,809","2,040,339","397,378","475,518","444,135","722,639","700,254","1,685,636","60,734"
"331,546","75,827","227,156","904,814","432,980","339,305","547,352","68,032","139,570","1,135,017","235,454","479,059","3,548,449","251,419","81,314","94,642","259,121","653,193","2,356,748","792,088","118,454","499,926","367,726","231,959","550,453","374,153","975,453","146,642","68,270","114,435","112,419","327,229","164,089","326,693","2,100,187","489,494","531,953","541,522","805,985","834,087","2,008,988","73,418"
"184,154","41,270","114,057","510,078","236,252","165,691","284,554","35,402","79,243","609,648","125,079","253,533","1,852,580","132,163","42,418","54,651","135,382","353,012","1,251,696","464,592","60,409","245,243","202,446","123,158","302,249","203,604","579,400","70,438","37,016","63,112","55,913","174,395","83,696","187,845","1,084,885","268,710","276,630","262,650","435,677","446,128","1,139,910","38,328"
"106,011","23,417","82,508","306,824","133,859","123,015","194,508","22,141","42,067","417,500","89,159","162,798","1,320,085","76,269","23,722","30,484","82,345","236,290","866,678","252,944","44,453","182,425","131,856","75,962","195,694","137,630","304,803","45,121","20,316","39,065","35,449","105,168","51,936","106,678","807,817","157,821","209,119","187,677","287,058","306,986","725,709","23,964"
"27,258","2,354","71,864","122,653","40,507","41,456","85,849","13,688","4,339","311,684","74,824","61,252","1,619,857","24,423","4,101","14,737","14,707","185,043","1,070,392","237,242","74,208","135,313","83,233","35,982","105,234","92,219","131,512","10,592","3,190","5,777","5,578","64,875","14,571","56,113","926,112","47,302","203,394","92,807","183,380","158,946","709,021","14,440"
"296,155","70,491","144,944","759,569","379,934","285,028","442,365","51,147","131,322","795,129","155,094","405,090","1,819,107","218,826","74,228","77,042","236,561","450,109","1,224,845","533,808","38,510","344,981","276,269","189,029","434,025","272,651","818,858","130,973","62,271","104,785","102,746","249,027","144,122","259,614","1,121,749","428,716","314,902","426,697","603,182","657,237","1,248,304","54,782"
"33,208","8,237","23,049","91,316","39,830","30,918","51,722","7,953","15,689","89,110","26,789","45,174","252,377","18,754","8,604","9,904","25,889","76,434","213,590","57,996","11,148","46,780","47,987","25,915","59,379","41,943","97,969","12,804","6,584","12,912","11,486","36,273","16,693","31,056","185,756","45,582","50,976","49,331","86,571","71,861","137,532","7,206"
"282,704","63,317","191,293","776,193","370,755","288,790","469,524","56,091","115,839","1,006,885","198,566","412,543","3,176,341","219,807","66,219","79,837","217,779","548,439","2,057,218","707,975","101,334","427,582","303,137","192,988","469,392","316,984","837,792","124,314","56,904","94,960","93,393","273,491","137,254","281,182","1,846,686","419,628","462,232","461,401","684,743","733,517","1,811,544","60,318"
109.9,67.9,24.6,282.30,105,39.90,48.5,1.2,43.1,231.1,63.2,181,239.1,33.6,10.70,"1,018.10",54.5,202.6,96.3,"1,195.50",211.8,56.3,153.90,56,153.90,94.4,283.90,19,9.70,77.1,6.8,54.70,23.8,738.1,350.6,66.6,594.8,101.2,196.10,174.8,411.20,460.8
"39,486.34","9,216.66","109,781.18","40,860.69","54,157.80","95,988.01","103,641.89","570,640.95","30,842.92","55,518.93","46,923.27","35,826.11","155,779.22","82,169.62","75,811.00","1,033.81","55,857.13","39,490.09","261,231.71","7,354.22","6,422.63","113,594.08","30,060.70","52,035.48","41,234.90","50,645.33","44,742.70","82,643.12","69,000.80","24,038.21","145,545.80","68,594.92","76,824.17","4,842.36","53,624.76","79,626.74","9,707.24","66,455.52","48,617.91","56,538.90","47,126.40","1,948.54"
