64.00%,61.20%,61.00%,66.60%,60.10%,63.60%,62.80%,61.10%,53.90%,62.60%,59.30%,65.60%,67.10%,64.70%,63.30%,60.40%,58.00%,65.50%,69.90%,64.30%,67.70%,63.90%,67.20%,67.60%,59.10%,67.60%,61.50%,61.80%,63.20%,68.60%,67.90%,67.50%,63.50%,66.30%,57.50%
"1,221,698","4,560,055","2,919,671","329,525","2,236,153","497,756","5,612,002","1,721,045","886,640","700,825","2,961,003","5,326,970","2,668,444","3,491,054","5,164,361","2,036,975","2,230,185","462,589","827,156","10,753,629","310,658","2,854,546","1,499,116","2,339,118","917,568","1,380,162","537,114","4,540,498","2,760,084","383,838","2,447,127","2,858,026","3,025,685","1,259,864","1,307,441"
3.70%,3.20%,2.20%,2.00%,2.80%,3.10%,1.00%,0.80%,-1.70%,3.00%,2.40%,2.20%,2.20%,1.20%,1.80%,0.40%,1.90%,1.00%,2.30%,3.20%,0.40%,2.20%,1.20%,3.30%,3.90%,1.70%,0.90%,3.10%,1.60%,1.60%,1.00%,2.60%,2.90%,1.00%,1.60%
"46,595,673","174,873,962","110,481,280","10,615,093","66,120,263","14,227,065","257,626,942","59,124,620","22,159,084","21,119,617","102,671,393","289,183,546","112,406,494","165,788,897","213,161,303","76,684,760","67,370,353","19,704,826","36,967,924","521,095,797","15,643,303","113,315,432","92,555,072","117,539,555","25,145,307","55,079,743","22,068,393","164,936,258","109,135,528","13,812,997","118,496,858","198,026,611","149,258,789","51,259,676","33,948,151"
4.20%,2.40%,1.90%,1.90%,1.80%,2.70%,1.90%,6.10%,1.70%,2.40%,2.80%,1.90%,1.90%,2.90%,2.20%,1.60%,1.60%,2.70%,2.10%,1.90%,7.30%,2.00%,2.30%,3.00%,2.50%,1.80%,23.70%,2.20%,2.20%,2.30%,2.80%,2.30%,4.60%,2.90%,1.20%
$973 ,$783 ,$764 ,$895 ,$790 ,$711 ,$840 ,$727 ,$643 ,$743 ,$913 ,$907 ,$776 ,"$1,116 ",$730 ,$788 ,$717 ,$925 ,$726 ,$882 ,"$1,146 ",$745 ,"$1,075 ","$1,002 ",$777 ,$697 ,"$1,438 ",$797 ,$746 ,$655 ,"$1,230 ","$1,102 ","$1,014 ",$757 ,$717 
"71,864","158,946","105,234","2,354","83,233","5,578","131,512","64,875","5,777","10,592","135,313","311,684","40,507","185,043","122,653","126,100","92,219","14,737","14,571","1,070,392","13,688","61,252","56,113","85,849","60,622","14,707","74,208","183,380","61,035","4,101","203,394","89,967","92,807","26,127","74,824"
"191,293","733,517","469,392","63,317","303,137","93,393","837,792","273,491","94,960","124,314","427,582","1,006,885","370,755","548,439","776,193","354,460","316,984","79,837","137,254","2,057,218","56,091","412,543","281,182","469,524","128,693","217,779","101,334","684,743","415,542","66,219","462,232","525,667","461,401","203,401","198,566"
55.10%,71.00%,66.80%,71.00%,68.60%,67.20%,69.20%,66.10%,72.50%,68.90%,62.80%,66.40%,67.30%,66.20%,66.30%,65.80%,68.70%,60.10%,66.20%,62.20%,63.40%,69.00%,67.00%,64.30%,68.10%,71.50%,56.90%,65.10%,67.20%,68.10%,66.80%,62.10%,62.50%,66.70%,68.40%
"63,383","219,627","133,344","21,121","103,973","37,270","299,695","93,093","36,993","44,757","136,352","318,266","139,500","197,384","251,668","105,575","98,540","28,387","53,719","569,091","20,907","145,116","89,232","161,737","43,793","80,952","31,915","223,209","158,191","26,511","137,204","175,225","182,913","74,526","58,662"
"205,980","700,254","495,703","60,312","329,431","86,969","811,890","276,218","88,136","122,221","451,951","968,330","341,935","576,446","763,418","358,223","322,025","76,747","131,518","2,205,149","55,521","403,546","272,809","480,847","121,279","207,167","104,707","722,639","402,091","64,006","475,518","514,298","444,135","195,777","211,955"
8.90%,0.40%,4.80%,-0.20%,7.30%,5.40%,0.60%,4.60%,-1.20%,7.40%,8.40%,-0.20%,1.60%,5.10%,0.70%,3.30%,1.70%,0.30%,4.40%,10.80%,4.50%,2.30%,0.10%,10.20%,1.10%,2.90%,5.00%,6.40%,1.70%,6.30%,4.20%,4.00%,8.40%,1.90%,0.70%
"2,700,691","9,884,129","6,346,298","625,741","4,625,410","989,414","12,702,857","3,751,615","1,853,011","1,567,650","6,392,301","12,831,574","5,687,289","8,001,041","11,536,727","4,533,479","4,780,131","1,052,940","1,826,334","25,146,100","710,249","6,484,136","3,574,114","5,029,324","2,059,198","3,046,869","1,360,301","9,535,688","5,988,928","814,195","5,773,786","6,547,813","6,724,545","2,853,129","2,968,103"
75.10%,79.60%,78.70%,94.60%,68.50%,89.20%,82.40%,74.60%,93.60%,93.30%,83.30%,77.20%,87.50%,70.00%,82.50%,63.20%,69.30%,84.40%,88.90%,79.40%,66.10%,85.60%,80.60%,87.50%,82.60%,91.40%,25.80%,71.00%,83.20%,85.20%,59.30%,81.80%,80.00%,86.60%,59.30%
13.10%,6.30%,10.60%,4.50%,11.90%,9.80%,6.70%,16.10%,6.50%,11.80%,11.90%,7.40%,6.20%,10.10%,6.60%,11.90%,10.70%,5.10%,9.90%,18.60%,15.50%,9.40%,5.70%,8.60%,10.80%,5.00%,4.20%,12.20%,10.50%,10.30%,7.00%,2.90%,6.90%,10.10%,13.90%
"$173,700 ","$122,400 ","$142,100 ","$217,500 ","$139,900 ","$193,500 ","$166,000 ","$117,900 ","$103,800 ","$162,900 ","$167,500 ","$173,800 ","$165,800 ","$245,000 ","$129,900 ","$144,100 ","$125,500 ","$238,000 ","$133,200 ","$136,000 ","$250,000 ","$124,200 ","$270,500 ","$247,800 ","$160,300 ","$129,200 ","$515,300 ","$154,900 ","$138,400 ","$140,500 ","$286,900 ","$333,100 ","$259,500 ","$132,000 ","$103,100 "
"227,156","834,087","550,453","75,827","367,726","112,419","975,453","327,229","114,435","146,642","499,926","1,135,017","432,980","653,193","904,814","414,291","374,153","94,642","164,089","2,356,748","68,032","479,059","326,693","547,352","151,363","259,121","118,454","805,985","491,606","81,314","531,953","607,664","541,522","239,118","235,454"
$410 ,$461 ,$359 ,$641 ,$347 ,$387 ,$498 ,$370 ,$293 ,$340 ,$380 ,$574 ,$532 ,$433 ,$444 ,$317 ,$345 ,$682 ,$471 ,$460 ,$554 ,$378 ,$833 ,$419 ,$327 ,$434 ,$505 ,$373 ,$402 ,$433 ,$582 ,$717 ,$511 ,$455 ,$341 
"$13,858 ","$12,071 ","$14,194 ","$15,868 ","$12,298 ","$15,544 ","$14,008 ","$13,174 ","$12,201 ","$12,812 ","$12,927 ","$12,942 ","$13,656 ","$13,438 ","$13,301 ","$13,342 ","$12,145 ","$11,486 ","$16,422 ","$13,666 ","$14,320 ","$13,133 ","$14,381 ","$13,073 ","$12,073 ","$14,607 ","$13,576 ","$12,376 ","$15,036 ","$16,550 ","$12,980 ","$13,980 ","$17,243 ","$13,263 ","$12,413 "
"38,234,170","119,302,046","91,641,605","9,933,751","58,093,824","15,623,573","178,794,945","50,256,231","22,637,923","20,444,278","84,716,542","166,634,514","78,201,822","110,002,385","153,553,997","61,396,364","58,564,965","12,063,865","30,470,717","356,116,376","10,474,275","85,857,962","51,632,467","67,815,200","25,179,274","44,905,624","18,901,745","120,691,007","90,546,581","13,791,827","76,379,707","92,915,380","118,924,049","38,276,461","37,053,190"
1.60%,0.70%,0.40%,0.40%,0.50%,6.60%,0.40%,9.20%,0.20%,1.80%,5.40%,0.60%,1.10%,0.50%,0.30%,0.80%,0.70%,1.00%,1.40%,1.00%,15.20%,0.40%,0.50%,1.60%,10.60%,0.50%,0.40%,1.60%,0.60%,9.00%,0.60%,0.50%,1.90%,1.20%,0.60%
"220,332","626,722","462,414","44,708","378,959","90,000","870,770","295,847","150,021","119,711","505,794","668,933","381,940","706,539","806,531","281,989","363,170","66,076","132,918","1,539,655","69,323","426,493","199,331","391,725","164,157","211,066","110,238","696,119","451,342","63,742","403,900","355,083","564,864","198,396","184,774"
49.90%,75.40%,74.20%,93.10%,63.90%,86.50%,77.00%,66.20%,92.30%,82.40%,55.50%,61.70%,81.70%,62.40%,79.50%,59.00%,65.80%,73.30%,79.60%,42.60%,61.20%,79.60%,67.70%,68.60%,38.10%,86.20%,22.10%,63.50%,79.70%,82.50%,51.50%,73.00%,69.50%,76.30%,56.90%
6.30%,5.80%,6.10%,4.90%,5.90%,6.00%,5.60%,6.80%,5.50%,6.80%,6.30%,6.00%,5.80%,6.10%,6.00%,6.60%,6.00%,5.20%,7.00%,7.20%,7.30%,6.40%,5.20%,6.10%,6.20%,6.40%,6.40%,6.00%,6.10%,7.10%,6.10%,5.30%,6.20%,6.70%,6.30%
